Games,Year,Gender,Event,Participant,Country,Distance,Time_S,Mark
Seoul 1988,1988,men,1500m,Peter RONO,KEN,1500,215.96,
Seoul 1988,1988,men,200m,Joe DELOACH,USA,200,19.75,
,1988,men,20km-walk,Jozef PRIBILINEC,TCH,20000,4797,
Seoul 1988,1988,men,400m,Steve LEWIS,USA,400,43.87,
Seoul 1988,1988,men,4x100m-relay,,URS,400,38.19,
Seoul 1988,1988,men,4x400m-relay,,USA,1600,176.16,
,1988,men,5000m,John NGUGI,KEN,5000,791.7,
Seoul 1988,1988,men,800m,Paul ERENG,KEN,800,103.45,
Seoul 1988,1988,men,high-jump,Gennadi AVDEENKO,URS,,,2.38
Seoul 1988,1988,men,long-jump,Carl LEWIS,USA,,,8.72
Seoul 1988,1988,men,marathon,Gelindo BORDIN,ITA,42195,7832,
,1988,men,pole-vault,Sergey BUBKA,UKR,,,5.9
,1988,men,triple-jump,Khristo MARKOV,BUL,,,17.61
,1984,men,10000m,Alberto COVA,ITA,10000,1667.54,
Los Angeles 1984,1984,men,100m,Carl LEWIS,USA,100,9.99,
Los Angeles 1984,1984,men,1500m,Sebastian COE,GBR,1500,212.53,
Los Angeles 1984,1984,men,200m,Carl LEWIS,USA,200,19.8,
,1984,men,20km-walk,Ernesto CANTO,MEX,20000,4993,
Los Angeles 1984,1984,men,400m,Alonzo BABERS,USA,400,44.27,
Los Angeles 1984,1984,men,4x100m-relay,,USA,400,37.83,
Los Angeles 1984,1984,men,4x400m-relay,,USA,1600,177.91,
,1984,men,5000m,Saïd AOUITA,MAR,5000,785.59,
Los Angeles 1984,1984,men,800m,Joaquim CRUZ,BRA,800,103,
Los Angeles 1984,1984,men,high-jump,Dietmar MÖGENBURG,GER,,,2.35
Los Angeles 1984,1984,men,long-jump,Carl LEWIS,USA,,,8.54
Los Angeles 1984,1984,men,marathon,Carlos LOPES,POR,42195,7761,
,1984,men,pole-vault,Pierre QUINON,FRA,,,5.75
,1984,men,triple-jump,Alfredrick Alphonzo JOYNER,USA,,,17.26
,1980,men,10000m,Miruts YIFTER,ETH,10000,1662.7,
Moscow 1980,1980,men,100m,Allan WELLS,GBR,100,10.25,
Moscow 1980,1980,men,1500m,Sebastian COE,GBR,1500,218.4,
Moscow 1980,1980,men,200m,Pietro MENNEA,ITA,200,20.19,
,1980,men,20km-walk,Maurizio DAMILANO,ITA,20000,5015.5,
Moscow 1980,1980,men,400m,Viktor MARKIN,URS,400,44.6,
Moscow 1980,1980,men,4x100m-relay,,URS,400,38.26,
Moscow 1980,1980,men,4x400m-relay,,URS,1600,181.1,
,1980,men,5000m,Miruts YIFTER,ETH,5000,801,
Moscow 1980,1980,men,800m,Steve OVETT,GBR,800,105.4,
Moscow 1980,1980,men,high-jump,Gerd WESSIG,GDR,,,2.36
Moscow 1980,1980,men,long-jump,Lutz DOMBROWSKI,GDR,,,8.54
,1980,men,marathon,Waldemar CIERPINSKI,GDR,42195,7863,
,1980,men,pole-vault,Wladyslaw KOZAKIEWICZ,POL,,,5.78
,1980,men,triple-jump,Jaak UUDMÄE,URS,,,17.35
,1976,men,10000m,Lasse VIREN,FIN,10000,1660.38,
Montreal 1976,1976,men,100m,Hasely CRAWFORD,TTO,100,10.06,
Montreal 1976,1976,men,1500m,John George WALKER,NZL,1500,219.17,
Montreal 1976,1976,men,200m,Donald QUARRIE,JAM,200,20.23,
,1976,men,20km-walk,Daniel BAUTISTA ROCHA,MEX,20000,5080.6,
Montreal 1976,1976,men,400m,Alberto JUANTORENA,CUB,400,44.26,
Montreal 1976,1976,men,4x100m-relay,,USA,400,38.33,
Montreal 1976,1976,men,4x400m-relay,,USA,1600,178.65,
,1976,men,5000m,Lasse VIREN,FIN,5000,804.76,
Montreal 1976,1976,men,800m,Alberto JUANTORENA,CUB,800,103.5,
Montreal 1976,1976,men,high-jump,Jacek WSZOLA,POL,,,2.25
