Games,Year,Participant,Gender,Event,Country,Distance,Time_S
,1956,,men,400m-individual-medley,,400,
,1956,,men,4x100m-freestyle-relay,,400,
,1956,,men,4x100m-medley-relay,,400,
Melbourne / Stockholm 1956,1956,,men,4x200m-freestyle-relay,AUS,800,503.6
,1956,,men,50m-freestyle,,50,
Helsinki 1952,1952,Yoshinobu OYAKAWA,men,100m-backstroke,USA,100,65.4
,1952,,,100m-breaststroke,,,
,1952,,,100m-butterfly,,,
Helsinki 1952,1952,Clarke SCHOLES,men,100m-freestyle,USA,100,57.4
,1952,,,200m-backstroke,,,
Helsinki 1952,1952,John DAVIES,men,200m-breaststroke,AUS,200,154.4
,1952,,,200m-butterfly,,,
,1952,,,200m-freestyle,,,
,1952,,,200m-individual-medley,,,
Helsinki 1952,1952,Jean BOITEUX,men,400m-freestyle,FRA,400,270.7
,1952,,,400m-individual-medley,,,
,1952,,men,4x100m-freestyle-relay,,,
Helsinki 1952,1952,,men,4x100m-medley-relay,USA,800,511.1
,1952,,men,4x200m-freestyle-relay,,,
,1952,,,50m-freestyle,,,
London 1948,1948,Allen STACK,men,100m-backstroke,USA,100,66.4
,1948,,men,100m-breaststroke,,100,
,1948,,men,100m-butterfly,,100,
London 1948,1948,Walter RIS,men,100m-freestyle,USA,100,57.3
,1948,,men,200m-backstroke,,200,
London 1948,1948,Joe VERDEUR,men,200m-breaststroke,USA,200,159.3
,1948,,men,200m-butterfly,,200,
,1948,,men,200m-freestyle,,200,
,1948,,men,200m-individual-medley,,200,
London 1948,1948,Bill SMITH,men,400m-freestyle,USA,400,281
,1948,,men,400m-individual-medley,,400,
,1948,,men,4x100m-freestyle-relay,,400,
,1948,,men,4x100m-medley-relay,,400,
London 1948,1948,,men,4x200m-freestyle-relay,USA,800,526
,1948,,men,50m-freestyle,,50,
Berlin 1936,1936,Adolph KIEFER,men,100m-backstroke,USA,100,65.9
,1936,,men,100m-breaststroke,,100,
,1936,,men,100m-butterfly,,100,
Berlin 1936,1936,Ferenc CSÍK,men,100m-freestyle,HUN,100,57.6
,1936,,men,200m-backstroke,,200,
Berlin 1936,1936,Tetsuo HAMURO,men,200m-breaststroke,JPN,200,161.5
,1936,,men,200m-butterfly,,200,
,1936,,men,200m-freestyle,,200,
,1936,,men,200m-individual-medley,,200,
Berlin 1936,1936,Jack MEDICA,men,400m-freestyle,USA,400,284.5
,1936,,men,400m-individual-medley,,400,
,1936,,men,4x100m-freestyle-relay,,400,
,1936,,men,4x100m-medley-relay,,400,
Berlin 1936,1936,,men,4x200m-freestyle-relay,JPN,800,531.5
,1936,,men,50m-freestyle,,50,
Los Angeles 1932,1932,Masaji KIYOKAWA,men,100m-backstroke,JPN,100,68.6
,1932,,men,100m-breaststroke,,100,
,1932,,men,100m-butterfly,,100,
Los Angeles 1932,1932,Yasuji MIYAZAKI,men,100m-freestyle,JPN,100,58.2
,1932,,men,200m-backstroke,,200,
Los Angeles 1932,1932,Yoshiyuki TSURUTA,men,200m-breaststroke,JPN,200,165.4
,1932,,men,200m-butterfly,,200,
,1932,,men,200m-freestyle,,200,
,1932,,men,200m-individual-medley,,200,
Los Angeles 1932,1932,Clarence CRABBE,men,400m-freestyle,USA,400,288.4
,1932,,men,400m-individual-medley,,400,
,1932,,men,4x100m-freestyle-relay,,400,
,1932,,men,4x100m-medley-relay,,400,
Los Angeles 1932,1932,,men,4x200m-freestyle-relay,JPN,800,538.4
,1932,,men,50m-freestyle,,50,
Amsterdam 1928,1928,George KOJAC,men,100m-backstroke,USA,100,68.2
,1928,,men,100m-breaststroke,,100,
,1928,,men,100m-butterfly,,100,
Amsterdam 1928,1928,Johnny WEISSMULLER,men,100m-freestyle,USA,100,58.6
,1928,,men,200m-backstroke,,200,
Amsterdam 1928,1928,Yoshiyuki TSURUTA,men,200m-breaststroke,JPN,200,168.8
,1928,,men,200m-butterfly,,200,
,1928,,men,200m-freestyle,,200,
,1928,,men,200m-individual-medley,,200,
Amsterdam 1928,1928,Alberto ZORRILLA,men,400m-freestyle,ARG,400,301.6
,1928,,men,400m-individual-medley,,400,
,1928,,men,4x100m-freestyle-relay,,400,
,1928,,men,4x100m-medley-relay,,400,
Amsterdam 1928,1928,,men,4x200m-freestyle-relay,USA,800,576.2
,1928,,men,50m-freestyle,,50,
Paris 1924,1924,Warren Paoa KEALOHA,men,100m-backstroke,USA,100,73.2
,1924,,men,100m-breaststroke,,100,
,1924,,men,100m-butterfly,,100,
Paris 1924,1924,Johnny WEISSMULLER,men,100m-freestyle,USA,100,59
,1924,,men,200m-backstroke,,200,
Paris 1924,1924,Robert SKELTON,men,200m-breaststroke,USA,200,176.6
,1924,,men,200m-butterfly,,200,
,1924,,men,200m-freestyle,,200,
,1924,,men,200m-individual-medley,,200,
Paris 1924,1924,Johnny WEISSMULLER,men,400m-freestyle,USA,400,304.2
,1924,,men,400m-individual-medley,,400,
,1924,,men,4x100m-freestyle-relay,,400,
,1924,,men,4x100m-medley-relay,,400,
Paris 1924,1924,,men,4x200m-freestyle-relay,USA,800,593.4
,1924,,men,50m-freestyle,,50,
Antwerp 1920,1920,Warren Paoa KEALOHA,men,100m-backstroke,USA,100,75.2
,1920,,men,100m-breaststroke,,100,
,1920,,men,100m-butterfly,,100,
Antwerp 1920,1920,Duke KAHANAMOKU,men,100m-freestyle,USA,100,61.4
,1920,,men,200m-backstroke,,200,
Antwerp 1920,1920,Hakan MALMROT,men,200m-breaststroke,SWE,200,184.4
,1920,,men,200m-butterfly,,200,
,1920,,men,200m-freestyle,,200,
,1920,,men,200m-individual-medley,,200,
,1920,,men,400m-freestyle,,400,
,1920,,men,400m-individual-medley,,400,
,1920,,men,4x100m-freestyle-relay,,400,
,1920,,men,4x100m-medley-relay,,400,
Antwerp 1920,1920,,men,4x200m-freestyle-relay,USA,800,604.4
,1920,,men,50m-freestyle,,50,
Stockholm 1912,1912,Harry HEBNER,men,100m-backstroke,USA,100,81.2
,1912,,men,100m-breaststroke,,100,
,1912,,men,100m-butterfly,,100,
Stockholm 1912,1912,Duke KAHANAMOKU,men,100m-freestyle,USA,100,63.4
,1912,,men,200m-backstroke,,200,
Stockholm 1912,1912,Walter BATHE,men,200m-breaststroke,GER,200,181.8
,1912,,men,200m-butterfly,,200,
,1912,,men,200m-freestyle,,200,
,1912,,men,200m-individual-medley,,200,
Stockholm 1912,1912,George HODGSON,men,400m-freestyle,CAN,400,324.4
,1912,,men,400m-individual-medley,,400,
,1912,,men,4x100m-freestyle-relay,,400,
,1912,,men,4x100m-medley-relay,,400,
Stockholm 1912,1912,,men,4x200m-freestyle-relay,ANZ,800,611.6
,1912,,men,50m-freestyle,,50,
